source	asserted_behavior	scope	subsystem	js_test_or_reason	status	rationale
pdfjs/test/test_manifest.json#bug1721218_reduced	bug1721218_reduced; file=pdfs/bug1721218_reduced.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1722036	bug1722036; file=pdfs/bug1722036.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1723568	bug1723568; file=pdfs/bug1723568.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1724918	bug1724918; file=pdfs/bug1724918.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1727053	bug1727053; file=pdfs/bug1727053.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1734802	bug1734802; file=pdfs/bug1734802.pdf; type=eq; rounds=1; linked; pages=3	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1734802-partial	bug1734802-partial; file=pdfs/bug1734802.pdf; type=eq; rounds=1; linked; pages=3; partial render region	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1737260	bug1737260; file=pdfs/bug1737260.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1737260-oc	bug1737260-oc; file=pdfs/bug1737260.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1743245	bug1743245; file=pdfs/bug1743245.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1749563	bug1749563; file=pdfs/bug1749563.pdf; type=eq; rounds=1; linked; pages=1-1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1749563-partial	bug1749563-partial; file=pdfs/bug1749563.pdf; type=eq; rounds=1; linked; pages=1-1; partial render region	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1753075	bug1753075; file=pdfs/bug1753075.pdf; type=eq; rounds=1; linked; pages=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1753983	bug1753983; file=pdfs/bug1753983.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1755201	bug1755201; file=pdfs/bug1755201.pdf; type=other; rounds=1; linked	robustness-corpus	general	Select for a public open() robustness corpus gate or mark as duplicate of an existing real-document/parity case.	needs-adapted-js-test	PDF.js load/other manifest rows are upstream corpus inputs; each should either open/extract with stable public behavior, raise a documented stable error, or be linked to duplicate corpus coverage.
pdfjs/test/test_manifest.json#bug1755507	bug1755507; file=pdfs/bug1755507.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1766987	bug1766987; file=pdfs/bug1766987.pdf; type=other; rounds=1; linked	robustness-corpus	general	Select for a public open() robustness corpus gate or mark as duplicate of an existing real-document/parity case.	needs-adapted-js-test	PDF.js load/other manifest rows are upstream corpus inputs; each should either open/extract with stable public behavior, raise a documented stable error, or be linked to duplicate corpus coverage.
pdfjs/test/test_manifest.json#bug1770750-annotations	bug1770750-annotations; file=pdfs/bug1770750.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1778692	bug1778692; file=pdfs/bug1778692.pdf; type=eq; rounds=1; linked; pages=2-2	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1782186	bug1782186; file=pdfs/bug1782186.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1791583	bug1791583; file=pdfs/bug1791583.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1791583-partial	bug1791583-partial; file=pdfs/bug1791583.pdf; type=eq; rounds=1; linked; partial render region	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1795263	bug1795263; file=pdfs/bug1795263.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1796741-print	bug1796741-print; file=pdfs/bug1796741.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1799927	bug1799927; file=pdfs/bug1799927.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1811668	bug1811668; file=pdfs/bug1811668_reduced.pdf; type=text; rounds=1	pdfjs-capability	text	Add/verify a JS extraction test only if pdf.js text capability remains a named dependency.	needs-adapted-js-test	pdf.js text manifest items are capability checks for the retained pdf.js role, not the native default engine.
pdfjs/test/test_manifest.json#bug1815476-save-print	bug1815476-save-print; file=pdfs/bug1815476.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1820909	bug1820909; file=pdfs/bug1820909.pdf; type=other; linked	robustness-corpus	general	Select for a public open() robustness corpus gate or mark as duplicate of an existing real-document/parity case.	needs-adapted-js-test	PDF.js load/other manifest rows are upstream corpus inputs; each should either open/extract with stable public behavior, raise a documented stable error, or be linked to duplicate corpus coverage.
pdfjs/test/test_manifest.json#bug1823296	bug1823296; file=pdfs/bug1823296.pdf; type=other; linked	robustness-corpus	general	Select for a public open() robustness corpus gate or mark as duplicate of an existing real-document/parity case.	needs-adapted-js-test	PDF.js load/other manifest rows are upstream corpus inputs; each should either open/extract with stable public behavior, raise a documented stable error, or be linked to duplicate corpus coverage.
pdfjs/test/test_manifest.json#bug1826783-display	bug1826783-display; file=pdfs/bug1826783.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1826783-print	bug1826783-print; file=pdfs/bug1826783.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1844036	bug1844036; file=pdfs/tracemonkey.pdf; type=eq; rounds=1; pages=2	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1844572-save-print	bug1844572-save-print; file=pdfs/bug1844572.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1847733	bug1847733; file=pdfs/bug1847733.pdf; type=other; rounds=1; linked	robustness-corpus	general	Select for a public open() robustness corpus gate or mark as duplicate of an existing real-document/parity case.	needs-adapted-js-test	PDF.js load/other manifest rows are upstream corpus inputs; each should either open/extract with stable public behavior, raise a documented stable error, or be linked to duplicate corpus coverage.
pdfjs/test/test_manifest.json#bug1851498	bug1851498; file=pdfs/bug1851498.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1860602	bug1860602; file=pdfs/bug1860602.pdf; type=eq; rounds=1; linked; pages=2-2	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1864136-forms	bug1864136-forms; file=pdfs/bug1864136.pdf; type=eq; rounds=1; linked; pages=2-2	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1865341	bug1865341; file=pdfs/bug1865341.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1872721-highlight-editor-save-print	bug1872721-highlight-editor-save-print; file=pdfs/bug1872721.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1898802	bug1898802; file=pdfs/bug1898802.pdf; type=eq; rounds=1; linked; pages=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1898802-partial	bug1898802-partial; file=pdfs/bug1898802.pdf; type=eq; rounds=1; linked; pages=1; partial render region	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1899804	bug1899804; file=pdfs/bug1899804.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1899804_print	bug1899804_print; file=pdfs/bug1899804.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1901253	bug1901253; file=pdfs/bug1901253.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1903731	bug1903731; file=pdfs/bug1903731.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1905623	bug1905623; file=pdfs/bug1905623.pdf; type=eq; rounds=1; linked; pages=2-2	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1919513	bug1919513; file=pdfs/bug1919513.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1942064	bug1942064; file=pdfs/bug1942064.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1946953	bug1946953; file=pdfs/bug1946953.pdf; type=eq; rounds=1; linked; pages=1-1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1947248-forms	bug1947248-forms; file=pdfs/bug1947248_forms.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1947248-text	bug1947248-text; file=pdfs/bug1947248_text.pdf; type=text; rounds=1	pdfjs-capability	text	Add/verify a JS extraction test only if pdf.js text capability remains a named dependency.	needs-adapted-js-test	pdf.js text manifest items are capability checks for the retained pdf.js role, not the native default engine.
pdfjs/test/test_manifest.json#bug1953099	bug1953099; file=pdfs/bug1953099.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1963407	bug1963407; file=pdfs/bug1963407.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1974436	bug1974436; file=pdfs/bug1974436.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug1978317	bug1978317; file=pdfs/bug1978317.pdf; type=load; rounds=1	robustness-corpus	general	Select for a public open() robustness corpus gate or mark as duplicate of an existing real-document/parity case.	needs-adapted-js-test	PDF.js load/other manifest rows are upstream corpus inputs; each should either open/extract with stable public behavior, raise a documented stable error, or be linked to duplicate corpus coverage.
pdfjs/test/test_manifest.json#bug2022700	bug2022700; file=pdfs/bug2022700.pdf; type=eq; rounds=1; linked; pages=1-1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug766138	bug766138; file=pdfs/bug766138.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug808084	bug808084; file=pdfs/bug808084.pdf; type=load; rounds=1; linked; pages=1	robustness-corpus	general	Select for a public open() robustness corpus gate or mark as duplicate of an existing real-document/parity case.	needs-adapted-js-test	PDF.js load/other manifest rows are upstream corpus inputs; each should either open/extract with stable public behavior, raise a documented stable error, or be linked to duplicate corpus coverage.
pdfjs/test/test_manifest.json#bug810214	bug810214; file=pdfs/bug810214.pdf; type=eq; rounds=1; linked; pages=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug810214-partial	bug810214-partial; file=pdfs/bug810214.pdf; type=eq; rounds=1; linked; pages=1; partial render region	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug816075	bug816075; file=pdfs/bug816075.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug847420	bug847420; file=pdfs/bug847420.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug850854	bug850854; file=pdfs/bug850854.pdf; type=eq; rounds=1; pages=1-1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug852992	bug852992; file=pdfs/bug852992_reduced.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug854315	bug854315; file=pdfs/bug854315.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug857031	bug857031; file=pdfs/bug857031.pdf; type=eq; rounds=1; linked; pages=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug858128	bug858128; file=pdfs/bug858128.pdf; type=eq; rounds=1; linked; pages=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug859204	bug859204; file=pdfs/bug859204.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug860632	bug860632; file=pdfs/bug860632.pdf; type=eq; rounds=1; pages=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug864847	bug864847; file=pdfs/bug864847.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug864847-text	bug864847-text; file=pdfs/bug864847.pdf; type=text; rounds=1; pages=1	pdfjs-capability	text	Add/verify a JS extraction test only if pdf.js text capability remains a named dependency.	needs-adapted-js-test	pdf.js text manifest items are capability checks for the retained pdf.js role, not the native default engine.
pdfjs/test/test_manifest.json#bug865858	bug865858; file=pdfs/bug865858.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug866395	bug866395; file=pdfs/bug866395.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug867484	bug867484; file=pdfs/bug867484.pdf; type=load; rounds=1; linked; pages=1	robustness-corpus	general	Select for a public open() robustness corpus gate or mark as duplicate of an existing real-document/parity case.	needs-adapted-js-test	PDF.js load/other manifest rows are upstream corpus inputs; each should either open/extract with stable public behavior, raise a documented stable error, or be linked to duplicate corpus coverage.
pdfjs/test/test_manifest.json#bug868745	bug868745; file=pdfs/bug868745.pdf; type=load; rounds=1	robustness-corpus	general	Select for a public open() robustness corpus gate or mark as duplicate of an existing real-document/parity case.	needs-adapted-js-test	PDF.js load/other manifest rows are upstream corpus inputs; each should either open/extract with stable public behavior, raise a documented stable error, or be linked to duplicate corpus coverage.
pdfjs/test/test_manifest.json#bug878026	bug878026; file=pdfs/bug878026.pdf; type=eq; rounds=1; pages=1-1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug878194	bug878194; file=pdfs/bug878194.pdf; type=eq; rounds=1; linked; pages=4-4	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug886717	bug886717; file=pdfs/bug886717.pdf; type=load; rounds=1	robustness-corpus	general	Select for a public open() robustness corpus gate or mark as duplicate of an existing real-document/parity case.	needs-adapted-js-test	PDF.js load/other manifest rows are upstream corpus inputs; each should either open/extract with stable public behavior, raise a documented stable error, or be linked to duplicate corpus coverage.
pdfjs/test/test_manifest.json#bug887152	bug887152; file=pdfs/bug887152.pdf; type=eq; rounds=1; linked; pages=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug887152-partial	bug887152-partial; file=pdfs/bug887152.pdf; type=eq; rounds=1; linked; pages=1; partial render region	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug888437	bug888437; file=pdfs/bug888437.pdf; type=eq; rounds=1; linked	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug889327	bug889327; file=pdfs/bug889327.pdf; type=eq; rounds=1; linked; pages=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug893730	bug893730; file=pdfs/bug893730.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug894572	bug894572; file=pdfs/bug894572.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug898853.pdf	bug898853.pdf; file=pdfs/bug898853.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug900822	bug900822; file=pdfs/bug900822.pdf; type=load; rounds=1	robustness-corpus	general	Select for a public open() robustness corpus gate or mark as duplicate of an existing real-document/parity case.	needs-adapted-js-test	PDF.js load/other manifest rows are upstream corpus inputs; each should either open/extract with stable public behavior, raise a documented stable error, or be linked to duplicate corpus coverage.
pdfjs/test/test_manifest.json#bug900822-encrypted-extract_0	bug900822-encrypted-extract_0; file=pdfs/bug900822.pdf; type=extract; rounds=1	pdfjs-capability	text	Adapt only if PDF.js text extraction remains a named fallback/capability; otherwise reclassify as excluded or duplicate.	needs-adapted-js-test	PDF.js extract manifest rows exercise its text extraction harness, which is a retained-capability concern rather than the default native extraction oracle.
pdfjs/test/test_manifest.json#bug903856	bug903856; file=pdfs/bug903856.pdf; type=eq; rounds=1; pages=1-1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug911034	bug911034; file=pdfs/bug911034.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug911034-partial	bug911034-partial; file=pdfs/bug911034.pdf; type=eq; rounds=1; partial render region	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug920426	bug920426; file=pdfs/bug920426.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug921409	bug921409; file=pdfs/bug921409.pdf; type=eq; rounds=1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug921760	bug921760; file=pdfs/bug921760.pdf; type=eq; rounds=1; linked; pages=1-1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
pdfjs/test/test_manifest.json#bug931481	bug931481; file=pdfs/bug931481.pdf; type=text; rounds=1; linked	pdfjs-capability	text	Add/verify a JS extraction test only if pdf.js text capability remains a named dependency.	needs-adapted-js-test	pdf.js text manifest items are capability checks for the retained pdf.js role, not the native default engine.
pdfjs/test/test_manifest.json#bug946506	bug946506; file=pdfs/bug946506.pdf; type=eq; rounds=1; pages=1-1	excluded	viewer-ui	Rendering/reference-image behavior is not exposed by pdfplumber.js.	excluded	Visual rendering and viewer UI checks are excluded unless the capability is used or exposed by the extraction API.
